ISIN;Country;Year;PRETAX_INCOME;MARKET_VALUE;BOOK_VALUE_EQUITY;ASSETS;CASH_TAX_PAID;INCOME_TAX;NET_INCOME;ROA;TAX_RATE;m1;m2;m3;m4;m5;m6;m7;m8
CH0008742519;CH;2020;191239;27958.62;1073590;2744725;329.21;28872;153000;631;15.09749304;2019;2018;2017;2016;2015;2014;2013;2012
CH0008742519;CH;2016;202301;23246.10;640921;2110887;332.94;39181;160400;753;19.36778726;;;;;;;;
CH0008742519;CH;2018;195267;24681.69;834145;2291134;300.41;40361;152700;684;20.66980638;;;;;;;;
CH0008742519;CH;2019;176296;27421.57;916198;2503950;373.32;5534;167200;714;3.139269406;;;;;;;;
CH0008742519;CH;2017;200252;27561.81;785634;2263520;293.62;39827;157000;722;19.88838153;;;;;;;;
DE000A1EWWW0;DE;2020;65891;71100.71;789679;2575940;459.41;13338;45100;216;20.24221453;2019;2018;2017;2016;2015;2014;2013;2012
DE000A1EWWW0;DE;2016;169912;31910.00;682634;1600689;472.35;50221;107900;757;29.55729167;;;;;;;;
DE000A1EWWW0;DE;2018;280544;41529.33;728987;1784686;961.50;78925;170700;1152;28.13288478;;;;;;;;
DE000A1EWWW0;DE;2019;286304;63748.94;762851;2321330;774.52;71632;191700;1056;25.01954652;;;;;;;;
DE000A1EWWW0;DE;2017;228181;40917.74;724323;1683401;627.13;75459;135100;926;33.06969847;;;;;;;;
DE0008404005;DE;2020;1094831;101184.60;9612453;135753725;3067.67;281688;680700;63;25.72886297;2019;2018;2017;2016;2015;2014;2013;2012
DE0008404005;DE;2016;1151883;75357.28;7075579;96789447;3244.48;341151;696200;79;29.61682512;;;;;;;;
DE0007100000;DE;2018;1172553;56147.23;7392408;32193275;3371.72;355459;724900;270;30.31492102;;;;;;;;
DE0007664039;DE;2018;1448025;79608.89;11948318;55350636;4487.77;411733;1182700;254;28.43408832;;;;;;;;
DE0005190003;DE;2018;1061185;53189.89;6579857;23889548;2326.47;298477;700700;346;28.12673708;;;;;;;;
DE000PAH0038;DE;2018;-14983;18078.63;3819836;3864533;2.36;2831;349000;1068;#N/B;;;;;;;;
DE0005439004;DE;2018;445981;27607.90;2040568;4742312;1015.53;105186;289730;726;23.58542973;;;;;;;;
DE0007100000;DE;2019;375060;59288.06;6885864;33948664;2358.26;125468;237700;81;33.45270069;;;;;;;;
DE0007664039;DE;2019;1679656;99170.94;12248495;58111598;3261.49;484299;1334600;266;28.83321117;;;;;;;;
DE0005190003;DE;2019;781459;54092.38;6659119;27126670;3793.13;239519;487100;216;30.65024348;;;;;;;;
DE000PAH0038;DE;2019;1119;22908.54;3960517;4008335;3.36;1007;440700;1268;90;;;;;;;;
DE0005439004;DE;2019;-51967;25876.64;1728122;4936979;969.27;65185;-122500;-287;#N/B;;;;;;;;
DE0007100000;DE;2017;1406422;90950.80;7669389;30661826;4375.26;377858;1027800;412;26.86662924;;;;;;;;
DE0007664039;DE;2017;1149478;100195.46;11739140;53676838;4132.75;249274;1117900;254;21.6858012;;;;;;;;
DE0005190003;DE;2017;1120716;68565.03;6444813;23476359;2595.38;225587;858900;435;20.12882448;;;;;;;;
DE000PAH0038;DE;2017;-6542;25661.24;3757423;3791646;0.00;2369;327800;1093;#N/B;;;;;;;;
DE0005439004;DE;2017;473620;54049.62;1900674;4605308;1265.66;138454;298460;789;29.23315075;;;;;;;;
DE000BAY0017;DE;2020;-1955512;57884.47;3734642;15001701;1211.79;-192542;-1556900;-1227;#N/B;2019;2018;2017;2016;2015;2014;2013;2012
DE000BAY0017;DE;2016;528652;86463.48;3199373;9008619;1881.64;112500;374300;458;21.28060264;;;;;;;;
DE0005190003;DE;2020;490417;58354.61;7450318;28200747;1829.66;155607;377500;160;31.72942817;2019;2018;2017;2016;2015;2014;2013;2012
DE0005190003;DE;2016;1069140;61511.41;4968716;21034140;2673.68;304757;686300;360;28.50491464;;;;;;;;
DE0006048432;DE;2018;359824;47360.86;1933638;3418361;691.33;85060;231400;789;23.63934426;;;;;;;;
DE000SYM9999;DE;2018;45897;9571.49;216283;572312;113.46;12901;27533;564;28.1089751;;;;;;;;
DE0006048432;DE;2019;314621;44945.40;2079207;3585377;679.38;79243;208500;674;25.18676628;;;;;;;;
DE000SYM9999;DE;2019;45969;14259.13;269385;681933;137.84;12496;29106;525;27.18279476;;;;;;;;
DE0006048432;DE;2017;337478;57545.45;1870006;3451579;820.01;50419;251900;880;14.93983957;;;;;;;;
DE000SYM9999;DE;2017;42348;11164.05;205667;570759;132.06;11257;27027;562;26.58131086;;;;;;;;
DE0005439004;DE;2020;-62288;29671.97;1500366;5089601;1009.45;-5734;-60870;-142;#N/B;2019;2018;2017;2016;2015;2014;2013;2012
DE0005439004;DE;2016;432424;38752.67;1505128;3939080;1158.52;121328;280250;788;28.05760917;;;;;;;;
DE0006047004;DE;2018;179192;12107.64;1763846;4188833;307.68;54752;115720;321;30.55500691;;;;;;;;
DE0006047004;DE;2019;150360;14468.05;1906813;4450780;329.17;40114;112330;294;26.67857675;;;;;;;;
DE0006047004;DE;2017;161577;21502.83;1740319;4252561;408.31;65353;96850;263;40.44677138;;;;;;;;
DE0007100000;DE;2020;593927;75647.09;7425847;34961350;2271.97;219559;364900;124;36.96737044;2019;2018;2017;2016;2015;2014;2013;2012
DE0007100000;DE;2016;1335401;79801.23;6112276;25629158;3263.28;419249;852600;371;31.39496355;;;;;;;;
DE0005810055;DE;2020;171703;31268.23;754722;18692650;435.24;45895;107990;74;26.72951799;2019;2018;2017;2016;2015;2014;2013;2012
DE0005810055;DE;2016;110089;15057.23;472633;17283502;307.30;31471;72210;42;28.58721865;;;;;;;;
DE0005552004;DE;2020;479359;61400.07;1685685;7048504;859.54;113427;297900;532;23.66230678;2019;2018;2017;2016;2015;2014;2013;2012
DE0005552004;DE;2016;346018;39907.36;1169401;4063635;584.07;38828;263900;688;11.22122762;;;;;;;;
DE0005557508;DE;2020;990524;86796.66;4395236;34541550;786.58;220015;415800;178;22.21199217;2019;2018;2017;2016;2015;2014;2013;2012
DE0005557508;DE;2016;508851;80333.59;3090945;15661455;582.97;159624;267500;183;31.36956522;;;;;;;;
DE000BAY0017;DE;2018;214479;64559.79;5255861;15076548;2392.53;58516;137400;132;27.28272827;;;;;;;;
DE0006599905;DE;2018;172361;44721.53;1966218;4275724;1061.77;43415;109300;298;25.18822724;;;;;;;;
DE0007165631;DE;2018;31935;8513.59;84658;290851;82.08;8638;14134;581;27.04778441;;;;;;;;
DE000BAY0017;DE;2019;301414;80292.75;5304149;14732026;2858.56;49583;239100;182;16.4500557;;;;;;;;
DE0006599905;DE;2019;194190;51414.82;2005346;4961562;1139.40;49135;129200;317;25.30259366;;;;;;;;
DE0007165631;DE;2019;33912;14646.92;90962;324393;77.58;9446;15669;577;27.85315639;;;;;;;;
DE000BAY0017;DE;2017;514000;103271.88;4419064;9224545;2053.97;149903;324900;401;29.16392363;;;;;;;;
DE0006599905;DE;2017;240137;46856.79;1681480;4330445;791.81;-48276;255100;680;-20.1033349;;;;;;;;
DE0007165631;DE;2017;22692;6531.88;74185;278375;61.58;4721;11473;562;20.80622313;;;;;;;;
DE0005785604;DE;2020;424754;25550.33;2073795;8154471;872.08;102940;170700;255;24.23510467;2019;2018;2017;2016;2015;2014;2013;2012
DE0005785604;DE;2016;411505;42860.50;1335735;4925366;988.94;115487;156000;347;28.06451613;;;;;;;;
DE0006047004;DE;2020;-214418;14862.53;1623749;4070898;388.62;38132;-206690;-567;#N/B;2019;2018;2017;2016;2015;2014;2013;2012
DE000ENER6Y0;DE;2018;28068;#N/B;1103309;5315372;643.43;-58753;54700;118;-209.3220339;;;;;;;;
DE000ENER6Y0;DE;2019;23232;#N/B;1292541;4910370;323.68;3947;15800;35;16.99029126;;;;;;;;
DE000ENER6Y0;DE;2017;137285;#N/B;1196741;5590624;682.01;38515;91000;;28.05466238;;;;;;;;
DE0006047004;DE;2016;99425;18548.47;1693359;4041264;360.51;34768;66020;195;34.96884735;;;;;;;;
DE0006048432;DE;2020;219445;49044.63;2174982;3771470;704.50;57113;140800;449;26.02597403;2019;2018;2017;2016;2015;2014;2013;2012
DE0006048432;DE;2016;303541;51874.72;1587082;3006143;850.67;71792;205300;801;23.6516035;;;;;;;;
DE0006231004;DE;2020;48467;36780.93;1057261;2673876;76.12;5821;37200;202;12.00923788;2019;2018;2017;2016;2015;2014;2013;2012
DE0006231004;DE;2016;77957;20106.55;564485;1021197;139.92;-3998;74200;818;-5.128205128;;;;;;;;
DE0007164600;DE;2018;660660;118617.80;3295930;5887451;1990.24;178260;408300;869;26.98214286;;;;;;;;
DE0006231004;DE;2018;168411;25708.16;748703;1304248;268.79;22954;121800;1122;13.6299435;;;;;;;;
DE0007164600;DE;2019;514407;161213.39;3451238;6759133;2606.73;137220;332100;595;26.67536989;;;;;;;;
DE0006231004;DE;2019;122816;22406.03;941170;1525517;140.97;21879;88900;705;17.81450872;;;;;;;;
DE0007164600;DE;2017;567238;133917.68;3060119;5101478;1502.41;110876;400800;924;19.54662955;;;;;;;;
DE0006231004;DE;2017;102633;28419.35;666288;1239064;156.71;15671;79100;808;15.2688172;;;;;;;;
DE0006599905;DE;2020;299813;74662.33;2073428;5163870;1146.81;72502;198700;460;24.18250951;2019;2018;2017;2016;2015;2014;2013;2012
DE0006599905;DE;2016;238275;45468.40;1475490;4114474;860.62;57633;162900;419;24.18755803;;;;;;;;
DE0008404005;DE;2018;1226822;84789.08;6999736;106021673;2558.88;318061;746200;80;25.92556977;;;;;;;;
DE000A1ML7J1;DE;2018;456858;23446.81;2043975;5645743;196.31;173600;226650;522;37.99870884;;;;;;;;
DE0005810055;DE;2018;135907;21996.80;552130;18511142;357.82;35829;82430;55;26.36284722;;;;;;;;
DE0008404005;DE;2019;1239792;102125.56;8306724;118353251;2763.42;310703;791400;80;25.06093708;;;;;;;;
DE000A1ML7J1;DE;2019;351254;29217.70;2167357;6339442;-52.27;206457;114700;217;58.7770449;;;;;;;;
DE0005810055;DE;2019;156449;28856.76;643787;15404796;553.02;40584;100390;67;25.94076406;;;;;;;;
DE0008404005;DE;2017;1144628;100921.84;7871604;112858503;2367.53;331726;680300;73;28.98108002;;;;;;;;
DE000A1ML7J1;DE;2017;452009;24110.05;1810902;4504957;57.98;162479;241070;688;35.9459999;;;;;;;;
DE0005810055;DE;2017;122900;21652.48;579902;16230769;348.31;44147;87430;58;35.92143906;;;;;;;;
DE000A0D9PT0;DE;2020;14364;13911.14;312372;1043566;23.94;5472;13900;166;38.0952381;2019;2018;2017;2016;2015;2014;2013;2012
DE000A0D9PT0;DE;2016;42810;5947.63;158244;647279;161.62;11394;31220;538;26.61498708;;;;;;;;
DE000PAH0038;DE;2020;1368;21133.77;4398050;4450296;-37.62;2736;263000;730;200;2019;2018;2017;2016;2015;2014;2013;2012
DE000PAH0038;DE;2016;-7412;16712.91;2942120;2996334;58.63;885;137400;490;#N/B;;;;;;;;
DE0007164600;DE;2020;823062;154747.87;3635901;7153362;1361.13;220813;514500;867;26.82825485;2019;2018;2017;2016;2015;2014;2013;2012
DE0007164600;DE;2016;537944;104692.41;2782009;4670116;1633.85;135952;364600;851;25.27246556;;;;;;;;
DE0007165631;DE;2020;48420;28762.83;126202;551990;136.86;14271;21010;568;29.47432112;2019;2018;2017;2016;2015;2014;2013;2012
DE0007165631;DE;2016;22578;5085.34;61141;186372;72.88;6538;10293;639;28.95750247;;;;;;;;
DE0005785604;DE;2018;550235;26926.39;1761708;6482003;1083.01;112076;202700;369;20.36878216;;;;;;;;
DE0005785604;DE;2019;437850;30895.47;1883330;7521423;865.18;98830;188300;304;22.57157464;;;;;;;;
DE0005785604;DE;2017;444181;43291.32;1640413;6380210;1338.86;102078;181400;363;22.98120874;;;;;;;;
DE000ENER6Y0;DE;2020;-240322;19349.03;1752291;5046147;339.16;-30894;-160600;-365;#N/B;2019;2018;2017;2016;2015;2014;2013;2012
DE000ENER6Y0;DE;2016;;#N/B;;;#N/B;;;;#N/B;;;;;;;;
DE000SYM9999;DE;2020;47883;17962.01;281643;737727;157.77;12381;30687;507;25.85748398;2019;2018;2017;2016;2015;2014;2013;2012
DE000SYM9999;DE;2016;39573;7918.07;176320;513142;133.05;10748;25236;552;27.1593895;;;;;;;;
DE0005552004;DE;2018;305319;33697.91;1553541;5995822;683.08;42707;207500;454;13.98763524;;;;;;;;
DE000A0D9PT0;DE;2018;66479;9349.67;236655;821628;161.27;18168;44700;650;27.32919255;;;;;;;;
DE0005552004;DE;2019;389722;47167.60;1584633;6102808;943.53;78124;262300;491;20.0459506;;;;;;;;
DE000A0D9PT0;DE;2019;65655;15104.15;262160;917543;152.55;19945;47810;622;30.3784521;;;;;;;;
DE0005552004;DE;2017;375377;58432.98;1517451;4669671;706.09;53802;271300;701;14.33293269;;;;;;;;
DE000A0D9PT0;DE;2017;49144;9239.05;216744;788685;163.10;13468;35510;559;27.40417719;;;;;;;;
DE0007664039;DE;2020;1015831;93488.30;13622516;64638432;3016.37;324095;833400;159;31.90438784;2019;2018;2017;2016;2015;2014;2013;2012
DE0007664039;DE;2016;419802;70507.63;8978243;45874240;3667.04;211616;514400;122;50.40843215;;;;;;;;
DE000A1ML7J1;DE;2020;571321;41377.31;2831772;7637081;89.26;190877;322850;543;33.40982102;2019;2018;2017;2016;2015;2014;2013;2012
DE000A1ML7J1;DE;2016;426970;15190.24;1315041;3430268;70.46;148994;230070;725;34.89559045;;;;;;;;
DE0005557508;DE;2018;670334;80344.28;3533134;17648749;822.29;215186;216600;143;32.10137276;;;;;;;;
DE0005557508;DE;2019;802837;77569.85;3559111;20714838;848.39;222954;386700;228;27.77080719;;;;;;;;
DE0005557508;DE;2017;554718;84253.74;3690539;17907770;715.11;-62826;346100;233;-11.32574217;;;;;;;;
DK0010181759;DK;2018;132784;16175.36;693970;1829564;375.92;37766;530900;449;28.44200739;;;;;;;;
DK0010181759;DK;2019;149160;22093.86;652681;1874929;334.90;41240;656900;538;27.64824121;;;;;;;;
DK0010181759;DK;2017;49448;18310.25;756887;1884878;293.26;22108;125900;102;44.71021159;;;;;;;;
DK0010181759;DK;2020;133440;23260.15;646141;1977020;299.42;34148;603000;492;25.59019024;2019;2018;2017;2016;2015;2014;2013;2012
DK0010181759;DK;2016;102891;13189.59;720769;1831847;260.31;35540;448600;351;34.54151625;;;;;;;;
DK0060336014;DK;2018;62569;12815.84;175017;301733;120.45;11222;322600;1666;17.935745;;;;;;;;
DK0060336014;DK;2019;57026;13777.34;172270;316584;167.30;9654;315400;1547;16.92954784;;;;;;;;
DK0060336014;DK;2017;58985;16748.98;181504;307093;129.19;11464;311900;1620;19.4344473;;;;;;;;
DK0060448595;DK;2020;81998;33622.21;116671;212658;191.57;19037;419700;3200;23.21624588;2019;2018;2017;2016;2015;2014;2013;2012
DK0060448595;DK;2016;60855;16425.40;76487;166120;54.40;13995;314300;2880;22.99779574;;;;;;;;
DK0010274414;DK;2020;97824;14123.42;2632876;67547153;659.86;26226;403800;10;26.80944193;2019;2018;2017;2016;2015;2014;2013;2012
DK0010274414;DK;2016;368727;28417.79;2160024;49416911;737.10;81718;1919500;57;22.16222751;;;;;;;;
DK0010272202;DK;2018;25515;10027.52;122770;129612;-7.34;2213;147214;1955;8.674473672;;;;;;;;
DK0060448595;DK;2018;79981;21725.04;99963;183308;139.56;18586;384500;3229;23.23817129;;;;;;;;
DK0010272202;DK;2019;42859;14445.70;211026;227490;71.36;10389;216600;1835;24.23924449;;;;;;;;
DK0060448595;DK;2019;75973;25589.19;100941;185908;179.05;17452;387300;3162;22.97136038;;;;;;;;
DK0010272202;DK;2017;16130;10137.60;101158;106492;27.43;-604;110355;1864;-3.744500432;;;;;;;;
DK0060448595;DK;2017;73476;17225.19;94554;191428;58.61;17108;379700;3294;23.28352181;;;;;;;;
DK0010272202;DK;2020;90285;26483.74;314309;347547;225.71;17525;475800;2622;19.41056911;2019;2018;2017;2016;2015;2014;2013;2012
DK0010272202;DK;2016;16793;10025.22;68468;74306;-0.87;-845;118708;2597;-5.030715341;;;;;;;;
DK0010268606;DK;2018;102638;#N/B;353462;1360234;230.05;26780;509814;601;26.09195402;;;;;;;;
DK0010268606;DK;2019;101404;#N/B;369639;1608655;280.93;23392;525618;537;23.06843267;;;;;;;;
DK0010268606;DK;2017;138962;#N/B;373689;1305390;295.52;33612;665006;859;24.18831169;;;;;;;;
DK0010274414;DK;2018;298696;16878.67;2282141;54817625;859.00;70594;1408100;40;23.63414763;;;;;;;;
DK0010274414;DK;2019;201418;13824.45;2347469;56497672;786.28;-18724;1428600;39;-9.295921405;;;;;;;;
DK0010274414;DK;2017;390032;34836.89;2482356;57085478;831.26;81700;2011400;57;20.94704922;;;;;;;;
DK0060336014;DK;2020;53905;16047.38;184647;345623;145.43;10628;282500;1342;19.71631206;2019;2018;2017;2016;2015;2014;2013;2012
DK0060336014;DK;2016;58124;10280.09;166422;276145;134.46;12347;305000;1598;21.24233129;;;;;;;;
DK0010268606;DK;2020;68740;#N/B;569440;2221967;249.65;18582;570277;471;27.03150912;2019;2018;2017;2016;2015;2014;2013;2012
DK0010268606;DK;2016;153540;#N/B;336465;1047472;234.51;35620;718463;1042;23.19884726;;;;;;;;
ES0105046009;ES;2020;-24362;26098.32;748692;1916457;22.89;-5915;-12679;-83;#N/B;2019;2018;2017;2016;2015;2014;2013;2012
ES0105046009;ES;2016;165929;20512.25;526673;1636315;341.84;38909;116415;716;23.44889793;;;;;;;;
ES0109067019;ES;2020;-99634;32813.12;458195;1462411;41.72;-29229;-62540;-560;#N/B;2019;2018;2017;2016;2015;2014;2013;2012
ES0109067019;ES;2016;126527;19911.88;288558;827356;332.74;35719;82550;1107;28.23045987;;;;;;;;
ES0105066007;ES;2020;-23008;29239.53;980787;2949212;43.98;-5554;-13543;-73;#N/B;2019;2018;2017;2016;2015;2014;2013;2012
ES0105066007;ES;2016;4530;3336.45;49550;305401;12.70;70;3982;162;1.545636568;;;;;;;;
ES0148396007;ES;2020;515842;104822.61;1652659;3146290;1347.66;115450;363900;1453;22.38095238;2019;2018;2017;2016;2015;2014;2013;2012
ES0148396007;ES;2016;406719;101680.78;1234640;1878130;1077.98;94956;287458;1756;23.34683205;;;;;;;;
ES0109067019;ES;2018;157650;29948.48;363030;1165579;339.30;39734;100240;1106;25.20392128;;;;;;;;
ES0109067019;ES;2019;157411;35222.40;424586;1167523;375.28;34249;111310;1081;21.75767918;;;;;;;;
ES0109067019;ES;2017;142357;31597.07;315606;951922;409.89;29529;100270;1272;20.74320577;;;;;;;;
ES0178430E18;ES;2020;294227;21552.23;450878;12853515;580.25;71362;133100;119;24.25416505;2019;2018;2017;2016;2015;2014;2013;2012
ES0178430E18;ES;2016;359514;45552.33;1092088;13041034;717.92;93584;211300;173;26.03076923;;;;;;;;
ES0148396007;ES;2018;491750;111983.67;1681389;2520277;1174.04;111699;336800;1690;22.71461717;;;;;;;;
ES0148396007;ES;2019;513110;86998.10;1681358;2488131;1255.21;114963;344400;1643;22.40512117;;;;;;;;
ES0148396007;ES;2017;445103;102727.80;1373935;2120489;880.78;101286;315696;1707;22.75552499;;;;;;;;
ES0105046009;ES;2018;202586;23277.39;689876;1703187;468.17;48323;132788;879;23.85292785;;;;;;;;
ES0105046009;ES;2019;208225;28707.94;719051;1671463;489.64;48931;144202;968;23.49888707;;;;;;;;
ES0105046009;ES;2017;177963;30440.28;682347;1838116;297.20;42268;123201;799;23.75096655;;;;;;;;
ES0178430E18;ES;2018;656767;43010.31;1194706;13037282;1020.48;191237;292900;256;29.11801689;;;;;;;;
ES0105066007;ES;2018;-4282;5923.21;54630;586801;23.85;-2175;-1498;-31;#N/B;;;;;;;;
ES0178430E18;ES;2019;302757;35749.85;996219;13343943;-304.44;117969;86000;74;38.96487985;;;;;;;;
ES0105066007;ES;2019;-6097;16596.14;467071;1464037;28.27;-3996;-918;-10;#N/B;;;;;;;;
ES0178430E18;ES;2017;517948;50016.15;1128992;13817125;1133.57;137495;285600;239;26.54616725;;;;;;;;
ES0105066007;ES;2017;2198;5937.45;56131;533804;15.06;-476;2627;72;-21.64742109;;;;;;;;
NL0000235190;FR;2018;466591;74453.78;1111599;13168859;1058.24;150300;305400;272;32.21238938;;;;;;;;
FR0000073272;FR;2018;159148;52331.34;1366636;4643475;626.45;23241;128300;351;14.60340993;;;;;;;;
NL0000235190;FR;2019;85623;114580.16;670694;12842410;1652.01;267388;-136200;-119;312.2875817;;;;;;;;
FR0000073272;FR;2019;351892;65618.84;1388645;4805198;992.77;89092;244700;587;25.31806616;;;;;;;;
NL0000235190;FR;2017;396469;77184.30;1289659;13142635;171.45;164904;236100;206;41.59317212;;;;;;;;
FR0000073272;FR;2017;581563;42222.34;1122388;3888791;656.46;171446;371900;1172;29.48021722;;;;;;;;
FR0000052292;FR;2018;243760;57776.38;625280;966179;#N/B;79303;140550;1847;32.53315265;;;;;;;;
FR0000052292;FR;2019;254103;77927.57;737269;1109153;#N/B;84056;152820;1667;33.07932872;;;;;;;;
FR0000052292;FR;2017;213157;55811.49;605071;812725;788.31;75493;122150;1914;35.41644618;;;;;;;;
FR0000120073;FR;2020;365955;77553.70;2268743;5136108;#N/B;77313;243510;569;21.12640957;2019;2018;2017;2016;2015;2014;2013;2012
FR0000120073;FR;2016;293850;43208.58;1765841;4653325;#N/B;82677;183290;502;28.13582292;;;;;;;;
NL0000235190;FR;2020;-133263;86091.49;788578;13470673;-90.06;4446;-113300;-101;#N/B;2019;2018;2017;2016;2015;2014;2013;2012
NL0000235190;FR;2016;117257;51216.84;385722;12617341;-214.60;32190;99500;86;27.45283019;;;;;;;;
FR0010220475;FR;2020;52106;9456.80;358910;1427303;113.32;13110;44600;338;25.15991471;2019;2018;2017;2016;2015;2014;2013;2012
FR0000121261;FR;2018;268511;17824.90;1389842;3443854;586.34;67246;166500;601;25.04393673;;;;;;;;
FR0000121261;FR;2019;252726;21875.58;1484618;3555743;692.81;56634;174000;563;22.40921169;;;;;;;;
FR0000121261;FR;2017;263937;25771.25;1348018;3034061;635.03;74556;168900;668;28.24786325;;;;;;;;
FR0010220475;FR;2016;-55294;5609.65;373658;1552295;232.88;65889;-108300;-462;#N/B;;;;;;;;
FR0000120693;FR;2018;237879;43158.81;1727624;3451044;442.37;46741;157700;529;19.64912281;;;;;;;;
FR0000120693;FR;2019;235453;48686.95;1820600;3535405;594.34;66392;145500;480;28.19767442;;;;;;;;
FR0000120693;FR;2017;202537;35311.50;1563238;3431687;444.75;47745;139300;459;23.5737352;;;;;;;;
FR0000120503;FR;2020;99292;15675.52;1272614;4969081;418.37;36137;69600;174;36.39494834;2019;2018;2017;2016;2015;2014;2013;2012
FR0000120503;FR;2016;84735;12744.40;858566;3676226;309.74;27544;73200;213;32.50652742;;;;;;;;
FR0000125338;FR;2020;154467;26124.17;746733;2686182;400.13;45599;95700;477;29.5202952;2019;2018;2017;2016;2015;2014;2013;2012
FR0000125338;FR;2016;110841;14237.42;767014;1736013;184.73;10398;92100;563;9.381237525;;;;;;;;
FR0000120172;FR;2020;155493;13873.31;1198467;5822630;543.77;56771;66300;134;36.51026393;2019;2018;2017;2016;2015;2014;2013;2012
FR0000120172;FR;2016;161947;18029.25;1099682;5214156;297.57;54646;78600;165;33.7431694;;;;;;;;
FR0000120321;FR;2018;611547;128714.86;3078320;4396269;1295.84;151515;389540;1056;24.77573934;;;;;;;;
FR0000120073;FR;2018;346139;53057.04;2032875;4799012;#N/B;86204;211340;509;24.90456714;;;;;;;;
FR0000120321;FR;2019;605670;165392.44;3302316;4917650;1717.26;185482;375000;912;30.62423772;;;;;;;;
FR0000120073;FR;2019;351287;66790.90;2118202;4901564;#N/B;89730;224150;523;25.54323584;;;;;;;;
FR0000120321;FR;2017;533175;124313.28;2979869;4243519;1115.75;101661;382150;1077;19.06706156;;;;;;;;
FR0000120073;FR;2017;285469;53829.68;1959453;4926558;#N/B;23382;223680;525;8.190762179;;;;;;;;
FR0000045072;FR;2020;475939;34681.13;7259200;239945734;2112.37;128703;254000;14;27.04191617;2019;2018;2017;2016;2015;2014;2013;2012
FR0000125486;FR;2018;515315;45673.73;2193133;8614435;1441.65;167289;298300;411;32.46336996;;;;;;;;
FR0000120503;FR;2018;185693;13329.72;1102797;4479662;613.47;50257;130800;347;27.06480305;;;;;;;;
FR0000125486;FR;2019;538806;61647.53;2294165;10232597;1731.48;182885;326000;392;33.94266722;;;;;;;;
FR0000120503;FR;2019;159157;16149.00;1167961;4431630;472.32;50590;118400;301;31.7862166;;;;;;;;
FR0000125486;FR;2017;444181;56737.44;2138865;8381944;1857.71;143360;274700;396;32.27526663;;;;;;;;
FR0000120503;FR;2017;150128;19038.37;1085283;4359264;266.19;33725;108200;304;22.46431255;;;;;;;;
FR0000045072;FR;2016;312943;33712.01;5618126;160768365;-213.50;76881;176300;12;24.5669848;;;;;;;;
FR0000120644;FR;2020;283626;42742.31;1982763;5233857;858.40;86866;194100;440;30.62700965;2019;2018;2017;2016;2015;2014;2013;2012
FR0000120644;FR;2016;290930;39175.91;1382672;4635521;985.62;88938;172000;449;30.57034221;;;;;;;;
FR0000130650;FR;2020;73677;53074.94;619275;1586235;285.45;18331;49100;366;24.88008665;2019;2018;2017;2016;2015;2014;2013;2012
FR0000130650;FR;2016;73175;19365.24;407157;732320;342.41;23152;44719;669;31.6390501;;;;;;;;
FR0000130809;FR;2020;159254;16241.65;7550527;176730046;#N/B;137253;-86900;-6;86.18468146;2019;2018;2017;2016;2015;2014;2013;2012
FR0000130809;FR;2016;683409;36667.24;5513494;142857656;#N/B;217810;340200;25;31.87115571;;;;;;;;
FR0010307819;FR;2018;126717;15024.28;524843;1178165;300.84;35546;77170;782;28.05139186;;;;;;;;
FR0010307819;FR;2019;129408;21767.71;572722;1327109;292.68;35626;83480;754;27.52983913;;;;;;;;
FR0010307819;FR;2017;105902;20561.73;496963;1131670;289.54;25288;71120;811;23.87900735;;;;;;;;
FR0000052292;FR;2020;226445;112576.95;902992;1352084;#N/B;69880;138540;1324;30.85984696;2019;2018;2017;2016;2015;2014;2013;2012
FR0000052292;FR;2016;182390;42982.12;462255;632713;650.67;61449;110030;1967;33.69116934;;;;;;;;
FR0000130650;FR;2018;92469;30656.66;521494;911548;201.27;26002;56940;759;28.11941822;;;;;;;;
FR0000130650;FR;2019;91319;42682.05;584677;1557199;150.65;23459;61530;563;25.68942272;;;;;;;;
FR0000130650;FR;2017;84756;27236.00;479621;844139;236.99;26087;51941;743;30.77889447;;;;;;;;
FR0000121485;FR;2020;337033;90853.70;1446346;3426601;1637.12;86547;216020;783;25.67901235;2019;2018;2017;2016;2015;2014;2013;2012
FR0000121485;FR;2016;130354;28410.09;1188672;2546061;326.88;32755;82510;344;25.12729124;;;;;;;;
FR0010307819;FR;2020;109654;23877.00;599026;1579322;273.59;31828;68120;551;29.02588627;2019;2018;2017;2016;2015;2014;2013;2012
FR0010307819;FR;2016;94038;15134.23;427923;855550;272.57;24181;62850;789;25.71462181;;;;;;;;
FR0000120321;FR;2020;544509;212907.59;3547438;5335522;1500.55;137914;356340;815;25.32816916;2019;2018;2017;2016;2015;2014;2013;2012
FR0000120321;FR;2016;475355;102438.44;2584338;3758095;1151.55;134259;308050;889;28.24397282;;;;;;;;
FR0000121261;FR;2020;124371;22900.93;1545711;3870945;359.09;40355;62800;198;32.44729606;2019;2018;2017;2016;2015;2014;2013;2012
FR0000121261;FR;2016;273120;20075.04;1117929;2670838;846.24;88164;166400;676;32.28027542;;;;;;;;
FR0000130809;FR;2018;715046;23860.52;6976187;149687258;#N/B;153839;340200;26;21.51460155;;;;;;;;
FR0000045072;FR;2018;736282;29487.68;6150147;185692596;670.10;172951;396000;25;23.48982535;;;;;;;;
